DOI,Institution
10.2110/jsr.2015.94,"Department of Geological Sciences, Queen's University, Kingston, K7L 3N6, ON, Canada; Marine Physical Laboratory, University of California San Diego, San Diego, 92037-0238, CA, United States"
10.1111/1755-6724.13780,"Dalian Natural History Museum, Liaoning, 116023, Dalian, China; Liaoning Provincial Department of Mineral Resources Protection and Supervision, Shenyang, 110032, China"
10.2979/jmodelite.41.4.01,"University of Kurdistan, Hewler, Iraq"
10.3934/dcdss.2019061,"Information Academy of Renmin University of China, Beijing, China"
10.5539/ass.v12n6p23,"College of Public Affairs, University of Baltimore, Baltimore, 21201, MD, United States"
10.1093/jwelb/jwx031,"Queen Mary University of London, Centre for Commercial Law Studies, United Kingdom"
10.3390/wevj7010101,"Applus IDIADA group, Spain"
10.1080/15295192.2019.1694829,"Department of Psychology, St. John�s University, Queens, 11439, NY, United States; New York University, United States; Center for Cognitive and Dialectical Behavior Therapy, United States"
10.1080/07351690.2017.1373565,"4878 Hutchison, Montreal, H2V 4A3, QC, Canada"
10.37394/23209.2021.18.16,"Department of Electronics & Communication Engineering, S. A. Engineering College, Chennai, 600 077, India; Division of Electrical Engineering & Computer Science, Military Institutions of University Education, Hellenic Naval Academy, Piraeus, 18539, Greece"
10.1002/smj.3284,"University of Mississippi, Oxford, MS, United States; MIT Global Scale, Massachusetts Institute of Technology, Cambridge, MA, United States; University of Wisconsin-La Crosse, La Crosse, WI, United States"
10.1353/cp.2016.0012,"Australian National University (ANU), Australia; University of the South Pacific, Fiji"
10.2514/1.T4365,"Department of Mathematics, University of Sargodha, Sargodha, 40010, Pakistan; Department of Mathematics, University of Dhaka, Dhaka, 1000, Bangladesh"
10.1080/14764172.2016.1197401,"Sant'andrea hospital, via di grottarossa, Rome, Italy; Azienda Ospedaliera Sant'Andrea, Roma, Italy; University of Towson Maryland, Premedical School of Medicine, Towson, United States; Universita degli Studi di Modena e Reggio Emilia, Modena, Italy; S.Andrea Hospital, II Unit University of Rome, UOC Dermatology, NESMOS Department, Rome, Italy"
10.1108/ICT-12-2017-0103,"Department of Management, Faculty of Economics, University of Negeri Semarang, Semarang, Indonesia"
10.1088/1742-6596/1916/1/012198,"KPR Institute of Engineering and Technology, Department of Electronics and Communication Engineering, Coimbatore, Tamil Nadu, India"
10.3934/dcdss.2019060,"Qingdao Vocational and Technical College of Hotel Management, Qingdao, 266100, China"
10.1142/S1793525321500655,"Universit� di Napoli Federico II and I.N.F.N. Sezione di Napoli, Complesso MSA, Via Cintia, Napoli, 80126, Italy; Universit� di Trieste, Via A. Valerio, Trieste, 34127, Italy; Institute for Geometry and Physics (IGAP), Trieste, Italy; INFN, Trieste, Italy"
10.1002/agj2.20418,"Ningxia University, College of Agriculture, Helanshan xilu No.489, Yinchuan, 750021, China; University of Florida, Horticultural Sciences Department, Gainesville, 32611-7011, FL, United States; University of Florida, Gainesville, 32611-7011, FL, United States"
10.1080/05786967.2019.1605494,"Archaeology, University of Jiroft, Jiroft, Iran; University of Tehran, Tehran, Iran; Geosciences, University of Padova, Padova, Italy; Cultural Heritage, University of Padova, Padova, Italy"
10.1088/1755-1315/426/1/012137,"Computer Engineering Department, Faculty of Engineering, Bina Nusantara University, Jakarta, 11480, Indonesia"
10.5325/intelitestud.21.2.0218,"University of Florida, United States"
10.1080/00927872.2022.2077954,"University of Coimbra, CMUC, Department of Mathematics, Coimbra, Portugal; Department of Mathematics, University of Cadiz, Puerto Real (Cadiz), Spain"
10.1002/gj.2685,"College of Earth Sciences, Jilin University, Changchun, China; Key laboratory for Oil Shale and Coexisting Minerals, Jilin University, Changchun, China"
10.1111/dome.12228,"The Arab Center for Mind, Brain and Behavior (ACMBB), Sakhnin, Israel; The College of Sakhnin for Teacher Education, Sakhnin, Israel; The Max Stern Yezreel Valley Academic College, Yezreel Valley, Israel; Minducate-Science Learning Research and Innovation Center, Tel Aviv University, Tel Aviv, Israel"
10.1080/1536383X.2020.1868997,"Institute of Nanotechnology, National Research Council (CNR-NANOTEC), Lecce, Italy; Grupo de Investigaci�n en Macromol�culas, Departamento de Qu�mica, Universidad Nacional de Colombia, Bogot�, Colombia"
10.1080/03772063.2021.1972851,"School of Microelectronics, Xidian University, Yanta District, Xi�an, 710100, Shaanxi, China; Department of Computer Science, Faculty of Engineering & Informatics, University of Bradford, Bradford, United Kingdom; Artificial Intelligence Dept, Research center for AI and IoT, Near East University, Mersin 10, Nicosia, Turkey"
10.3934/dcdss.2019088,"Qujing Power Supply Bureau, Yunnan Power Grid Co., Ltd., Qujing, 655600, China; Department of Mathematics, Texas Christian University, Fort Worth, 76129, TX, United States"
10.1088/1757-899X/620/1/012075,"Civil Engineering Faculty, UTM"
10.1080/03610926.2019.1703135,"Department of Mathematics, University of Louisiana at Lafayette, Lafayette, LA, United States"
10.1080/14748932.2018.1389008,"Bront� Society Gazette, United Kingdom"
10.1080/14764172.2016.1197401,"sant'andrea hospital, via di grottarossa, rome, 00189, Italy; Azienda Ospedaliera Sant'Andrea, Roma, Italy; University of Towson Maryland, Premedical School of Medicine, towson, United States; Universita degli Studi di Modena e Reggio Emilia, Modena, Italy; S.Andrea Hospital, II Unit University of Rome, UOC Dermatology, NESMOS Department, rome, Italy"
10.3923/jas.2009.1568.1572,"Department of Textile Engineering, Islamic Azad University, Arak Branch, Iran; Department of Biology, Islamic Azad University, Arak Branch, Iran"
10.1143/JPSJ.73.1651,"Institute for Solid Stale Physics, University of Tokyo, Kashiwa, Chiba 277-8581, Japan"
10.1109/icbbe.2011.5781353,"Yantai Research Institute, China Agricultural University, Yantai, Shandong, China"
10.1109/icbbe.2011.5781554,"Key Laboratory of Wetland Ecology and Environment, Institute of Northeast Geography and Agroecology, Chinese Academy of Sciences, Changchun 130012, China; Graduate University, Chinese Academy of Science, Beijing 100049, China"
10.1109/APPEEC.2011.5748391,"Key Laboratory of Enhanced Oil and Gas Recovery, Ministry of Education, Northeast Petroleum University, Daqing, China; 3rd Oil Production Company, Daqing Oilfield Corporation Ltd., Daqing, China"
10.1111/1467-9922.00219,"University of Miami, United States; University of Minnesota, United States"
10.2143/ETL.75.4.504765,"King's College, University of London, London WC2R 2LS, The Strand, United Kingdom; B-3000 Leuven, Blijde-Inkomststraat 21, Belgium"
10.1109/icbbe.2011.5781463,"State Key Lab. of Pollution Control and Resources Reuse, Tongji University, Shanghai, China"
10.4028/www.scientific.net/AMR.594-597.130,"State Key Laboratory of Hydraulic Engineering Simulation and Safety, Tianjin University, Tianjin 300072, China; CCCC Water Transportation Consultants Co., Ltd, Beijing 100007, China; School of Management and Economics, Tianjin University, Tianjin 300072, China"
10.1016/j.rser.2014.07.046,"Department of Chemical Engineering, University of Malaya, 50603 Kuala Lumpur, Malaysia; Department of Chemical Engineering and Polymer Science, Shahjalal University of Science and Technology, Sylhet 3114, Bangladesh"
10.1353/frf.0.0051,"Izmir University, Turkey"
10.1109/ICCSN.2010.80,"Institute of Computer Science and Information Engineering, Harbin Normal University, Harbin, China"
10.3923/jas.2007.472.477,"Laboratoire de Biophysicochimie et Technologie Alimentaires, Ecole Nationale Sup�rieure Polytechnique, Universit� Marien Ngouabi, Brazzaville, B.P. 69, Congo; Laboratoire de Biophysicochimie et Technologie Alimentaires, D�partement de G�nie Biologique, Universit� de Technologie de Compi�gne, Compi�gne, B.P. 60206, France; Departement de Pharmacologie, Facult� des Sciences de la Sant�, Universit� Marien Ngouabi, Brazzaville, B.P. 69, Congo; Departement de Pharmacologie, Facult� des Sciences, Universit� de Lom�, Lom�, Togo"
10.3923/jas.2009.3176.3179,"Faculty of Chemical and Natural Resources Engineering, Universiti Malaysia Pahang, 26300 Gambang, Kuantan, Pahang, Lebuhraya Tun Razak, Malaysia; Department of Applied Chemistry, Graduate School of Engineering, Tokyo University of Agriculture and Technology, Koganei, Tokyo 184-8588, 2-24-16 Nakacho, Japan"
10.1109/icbbe.2011.5780833,"School of Civil Engineering, Tianjin University, Tianjin, China; School of Environment Science and Engineering, Tianjin University, Tianjin, China"
10.1103/PhysRevB.72.054118,"Advanced Materials Laboratory, Department of Materials Science and Engineering, Tsinghua University, Beijing 100084, China; State Key Laboratory of Solid-State Microstructure, Nanjing University, Nanjing 210039, China"
10.3923/jas.2011.3198.3203,"Department of English, College of Arts, King Faisal University, Al-Ahsa, Saudi Arabia"
10.3923/jas.2011.2546.2553,"Department of Physics, University of Isfahan, Isfahan 81746-73441, Hezar Jarib Street, Iran; Department of Chemistry, University of Isfahan, Isfahan 81746-73441, Hezar Jarib Street, Iran"
10.1109/icbbe.2011.5781607,"College of Environmental Sciences and Engineering, Donghua University, Shanghai, China; Shanghai Radiation-environment Supervision Agency, Shanghai, China"
10.1093/cdj/bsq019,"Department of Social Sciences, University of Toronto at Scarborough, Scarborough, ON M1C 1A4, 1265 Military Trail, Canada"
10.1080/00754179908260284,"Child and Adolescent Psychiatry, Severn NHS Trust, Cleeve House, Gloucester, GL1 3PX, Horton Road, United Kingdom"
10.1115/ICES2012-81163,"Engine Development Directorate, Research Designs and Standards Organisation, Ministry of Railways, Government of India, Lucknow, India; Engine Research Laboratory, Department of Mechanical Engineering, Indian Institute of Technology Kanpur, Kanpur-208016, India"
10.2143/RTPM.67.1.520,"King's College London, London, WC2R 2LS, The Strand, United Kingdom"
