DOI,Affiliations
10.1007/s11042-019-7294-0,"College of Physical Education, Taiyuan University of Technology, Shanxi Province, Taiyuan City, 030024, China; Woosuk University, Jeonju, South Korea"
10.1016/j.jclinepi.2023.05.025,"Institute of Medical Science, University of Toronto, Toronto, ON, Canada; Department of Psychiatry, Women's College Hospital, Toronto, ON, Canada; Departments of Medicine and Obstetrics and Gynaecology, St. Michael's Hospital, Toronto, ON, Canada"
10.1177/0020720919847542,"Computer Science and Engineering Department, University College of Engineering, Rajasthan Technical University, Kota, India; CS & I Department, University of Kota, Kota, India"
10.1007/s00335-023-10003-6,"Department of Thoracic Surgery, Shijiazhuang People’s Hospital, 365 Jianhuanan Street, Yuhua District, Hebei, Shijiazhuang, 050031, China; Central Supply Room, Hebei General Hospital, No. 348 Heping West Road, Hebei, Shijiazhuang, 050051, China"
10.1038/s41598-023-32497-5,"Department of Mathematical Sciences, College of Sciences, United Arab Emirates University, P. O. Box 15551, Al Ain, United Arab Emirates"
10.1177/0020720920984683,"The Navy Qingdao Special Service Recuperation Center recuperates four areas nine departments, Qingdao, China; Nursing Section, Qingdao 8th People's Hospital, Qingdao, China; Nursing Section, Shandong University of Science and Technology, Qingdao, China"
10.1186/s41043-022-00344-4,"Catholic University of Cuenca, Azogues Campus, Azogues, Ecuador; University of Palermo, Buenos Aires, Argentina; National University of Education, Azogues, Ecuador; CES University, Medellín, Colombia; EDURES Global Link, West Java, Majalengka, Indonesia; Medical Surgical Nursing Department, King Khalid University, Khamis Mushate, Almahala, Saudi Arabia; School of Languages and General Education, Walailak University, Nakhon Si Thammarat, Thailand; Medical Laboratories Techniques Department, Al-Mustaqbal University College, Babylon, Hilla, 51001, Iraq; Medical Laboratory Technology Department, College of Medical Technology, The Islamic University, Najaf, Iraq; Department of Media and Children’s Culture, Ain Shams University, Cairo, Egypt"
10.1177/0020720920984681,"School of Information Engineering, Xi’an University, Xi’an, China"
10.1007/s10257-021-00509-4,"Northeast Asian Research Center, Northeast Asian Studies College, Jilin University, Changchun, China; School of Economics, Jinan University, Guangzhou, China; University of Technical Malaysia, Malacca, Malaysia; Universidad Distrital Francisco José de Caldas, Bogota, Colombia"
10.1007/s12652-022-04248-3,"Faculty of Information and Communication Engineering, Anna University, Chennai, India; Department of Computer Science and Engineering, St. Joseph’s College of Engineering, Chennai, India"
10.1177/0020720919891067,"Graduate School of Anhui, University of Technology, Anhui, Máanshan, China"
10.1016/j.wneu.2023.02.015,"Neurosurgical Service, KK Women's and Children's Hospital, Singapore; Department of Neurosurgery, National Neuroscience Institute, Singapore; SingHealth Duke−NUS Neuroscience Academic Clinical Program, Singapore; SingHealth Duke−NUS Neuroscience Paediatrics Clinical Program, Singapore"
10.1007/s12652-022-04301-1,"Department of Computer Science and Engineering, Vardhaman College of Engineering, Hyderabad, India; Department of Computer Science and Engineering, B.M.S. College of Engineering, Bangaluru, India; Department of Computer Science and Engineering, JNTUHCEJ, Jagityal, Karimnagar, India"
10.1177/00207209211002072,"Department of Psychology, Youth Mental Health Education and Counseling Center, Shaanxi University of Science & Technology, Shaanxi, Xi’an, China; Department of Economics and Management, Shaanxi University of Science & Technology, Shaanxi, Xi’an, China"
10.1177/0020720920983526,"Maanshan Normal College, Ma’anshan, China; Taibai Calligraphy and Painting Academy, Ma’anshan, China"
10.1016/j.ajt.2023.04.018,"Critical Path Institute, Tucson, AZ, United States; Université de Paris, Cité, Institut national de la santé et de la recherche médicale, Translational Research Centre for Organ Transplantation, U970, PARCC, Paris, Paris, France; Department of Surgery, Mayo Clinic, Rochester, MN, United States; Department of Transplantation and Liver Surgery, Helsinki University Hospital, Helsinki, Finland; Division of Transplantation, Department of Surgery, Emory University School of Medicine, Atlanta, GA, United States; Veloxis Pharmaceuticals, Cary, NC, United States; Department of Medicine, Division of Nephrology, University of Nebraska Medical Center, Omaha, NE, United States; Pharmacometrics, Novartis, Basel, Switzerland; Department of Surgery, Houston Methodist Hospital, Houston, USA, and Weill Cornell Medicine, New York, New York, TX, United States"
10.1177/0020720920983548,"School of Management, Xi’an University of Architecture and Technology, Xi’an, China"
10.1016/j.enganabound.2023.02.043,"Institute of Research and Development, Duy Tan University, Da Nang, Viet Nam; School of Medicine and Pharmacy, Duy Tan University, Da Nang, Viet Nam; Department of Chemistry, Iran University of Science and Technology, Tehran, Iran; Department of Nutrition, Cihan University-Erbil, Kurdistan Region, Iraq; Biological Science Department, Western Michigan University, 1903W Michigan Avenue, Kalamazoo, 49008-5410, MI, United States; Department of Paramed, Tehran University of Medical Science, Tehran, Iran; Halal Food R&D Center, İstanbul S. Zaim University (İZÜ), Halkalı, Küçükçekmece, İstanbul, Turkey; İZÜ Food and Agricultural Research Center (GTUAM), Halkalı Campus, Küçükçekmece, İstanbul, 34303, Turkey; Science Faculty, Department of Mathematics, Firat University, Elazig, 23119, Turkey; Department of Medical Research, China Medical University, Taichung, 40402, Taiwan"
10.1186/s13046-022-02588-8,"Department of Medical Laboratory, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, 26 Shengli St., Jiangan District, Wuhan, 430014, China; College of Pharmacy, Hubei University of Chinese Medicine, Wuhan, 430065, China; School of Laboratory Medicine, Hubei University of Chinese Medicine, Wuhan, 430065, China; Cancer Research Institute of Wuhan, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430014, China; Key Laboratory for Molecular Diagnosis of Hubei Province, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430014, China; Department of Oncology, The Central Hospital of Wuhan, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, 430014, China; Institute of Biology and Medicine, College of Life and Health Sciences, Wuhan University of Science and Technology, Hubei, Wuhan, 430081, China; Department of Medicine, Dan L Duncan Comprehensive Cancer Center, Baylor College of Medicine, Houston, 77030, TX, United States"
10.1007/s11370-020-00326-7,"School of Finance and Economics, Anhui Science and Technology University, AnHui, Bengbu, 233100, China; V.R.S. College of Engineering & amp; Technology, Villupuram, India; Beirut Arab University, Lebnon, Lebanon"
10.1177/0020720920984318,"Ma’anshan Teacher’s College, Anhui, China"
10.1177/00207209211004212,"School of Education, Xi’an Fanyi University, Shaanxi, Xi’an, China"
10.1177/0020720920944444,"School of Astronautics, Northwestern Polytechnical University, Xi’an, China; Unmanned System Research Institute, Northwestern Polytechnical University, Xi’an, China"
10.1177/0020720920940578,"School of Aeronautics and Astronautics, University of Electronic Science and Technology of China, Chengdu, China; Sichuan Tengden Technology Co., Ltd, Chengdu, China; Institute of Manned Space System Engineering, China Aerospace Science and Technology Corporation, Beijing, China"
10.1177/0020720920923306,"College of Economics and Law, Shaanxi University of Technology, Hanzhong, China; Department of Information Engineering, Shanwei Polytechnic, Shanwei, China; Department of Information Science and Technology, Huizhou University, Huizhou, China"
