Class,Rank_group,Title Length,Country_Count,Author_Count,Institution_Count,Journal_encodeder,Publisher_encodeder,CIT_Avg.
0,5,9,1,4,1,130,45,1
0,5,19,2,5,5,130,45,4
0,5,9,1,4,2,130,45,7.166666667
0,5,13,1,2,1,130,45,2.833333333
0,5,16,1,6,2,130,45,1.5
0,5,9,1,4,1,130,45,10
0,5,13,1,2,2,130,45,0.833333333
0,5,11,3,12,5,130,45,1.5
0,5,10,2,6,4,130,45,2.666666667
0,0,18,1,2,1,8,5,8.833333333
0,0,10,1,7,5,8,5,8
0,0,17,1,4,1,8,5,1.666666667
0,0,16,3,7,4,8,5,2.5
0,0,7,1,7,5,8,5,12.5
0,0,15,1,7,2,8,5,4.833333333
0,0,10,2,7,3,8,5,8.333333333
0,1,11,2,12,6,255,62,20.33333333
0,1,14,1,21,8,255,62,7.166666667
0,1,4,1,7,5,255,62,13.5
0,1,9,1,2,2,255,62,9
0,1,15,2,14,7,255,62,6
0,1,9,1,10,6,255,62,6.166666667
0,1,13,1,26,10,255,62,10.16666667
0,8,14,1,7,1,297,72,7.166666667
0,8,12,1,8,3,297,72,1.666666667
0,8,9,1,8,1,297,72,1.833333333
0,8,21,2,5,4,297,72,4.5
0,8,14,1,8,2,297,72,5.666666667
0,8,22,1,9,2,297,72,0.5
0,8,13,1,7,4,297,72,0.166666667
0,0,16,1,6,1,260,72,0.833333333
0,0,13,1,4,3,260,72,2.333333333
0,0,14,1,7,2,260,72,3.5
0,0,10,1,6,2,260,72,2.166666667
0,0,21,1,5,2,260,72,3.666666667
0,0,15,1,3,2,260,72,3.166666667
0,0,11,1,9,5,260,72,1.166666667
0,6,18,3,8,6,277,71,3
0,6,10,5,5,7,277,71,4.166666667
0,6,14,1,6,5,277,71,8.333333333
0,6,22,1,5,4,277,71,1.166666667
0,6,9,1,1,2,277,71,1
0,6,21,1,6,4,277,71,5.166666667
0,7,13,1,10,4,43,30,3.666666667
0,7,12,2,10,4,43,30,2
0,7,12,3,8,5,43,30,1.333333333
0,7,21,1,8,1,43,30,13.5
0,4,8,1,5,3,83,72,2.833333333
0,4,13,1,4,1,83,72,3.666666667
0,4,15,1,8,3,83,72,3
0,4,16,1,3,3,83,72,5.5
0,9,12,1,7,3,266,77,7.666666667
0,9,19,1,7,2,266,77,2.5
0,9,18,1,5,1,266,77,1.166666667
0,9,17,1,9,5,266,77,3.5
0,1,19,1,6,2,186,72,5.833333333
0,1,17,1,9,4,186,72,6.166666667
0,1,13,1,7,3,186,72,5.166666667
0,0,20,1,8,3,192,82,1.333333333
0,0,12,1,5,1,192,82,1.166666667
0,0,17,1,4,2,192,82,3.833333333
0,0,14,1,6,1,300,30,11.5
0,0,22,1,5,3,300,30,8
0,0,11,1,8,3,300,30,5.5
0,1,11,1,3,1,218,5,5.666666667
0,1,14,1,7,2,218,5,3
0,1,13,1,8,3,218,5,1.666666667
0,4,16,1,5,2,146,30,3.833333333
0,4,16,1,6,2,146,30,4.166666667
0,4,15,1,5,2,146,30,11.16666667
0,9,12,1,3,1,109,57,0.5
0,9,12,1,3,3,109,57,1
0,9,10,1,3,1,109,57,1.166666667
0,8,11,2,7,5,285,72,5.5
0,8,9,1,5,1,285,72,1.5
0,8,13,1,9,3,285,72,5.833333333
0,2,10,2,4,4,100,34,4.5
0,2,11,1,5,1,100,34,6.5
0,2,15,1,5,4,100,34,5
0,7,17,1,7,2,244,77,5
0,7,10,1,6,3,244,77,6.5
0,7,24,1,8,3,244,77,2.833333333
0,3,24,2,8,3,253,72,5
0,3,16,1,9,2,253,72,13.33333333
0,3,7,1,8,3,253,72,5.333333333
0,1,10,2,4,2,27,94,22.16666667
0,1,10,1,4,1,27,94,9.666666667
0,1,12,1,15,3,27,94,47.16666667
0,1,22,1,8,3,84,30,8.333333333
0,1,16,2,7,3,84,30,10.83333333
0,1,19,2,5,2,84,30,43.5
0,7,10,1,6,1,248,56,9.166666667
0,7,12,2,3,2,248,57,7.333333333
0,7,15,2,12,3,248,57,3.666666667
0,0,15,1,7,3,91,92,1
0,0,18,1,3,2,91,92,0.166666667
0,0,12,1,3,2,91,92,2.166666667
0,0,13,1,8,3,229,46,4.166666667
0,0,10,1,6,3,229,46,2.333333333
0,0,12,1,5,3,229,46,0.833333333
0,4,17,1,4,2,108,34,9.333333333
0,4,13,2,5,4,108,34,11.66666667
0,4,13,1,9,2,108,34,5.833333333
0,0,10,1,6,1,225,57,4.833333333
0,0,15,1,3,1,225,57,1.666666667
0,0,15,1,6,3,225,57,0.333333333
0,0,16,1,7,2,118,77,3.666666667
0,0,18,1,6,3,118,77,7
0,0,16,1,4,2,33,57,3
0,0,8,1,7,1,33,57,2.166666667
0,8,13,2,3,4,13,5,2.5
0,8,17,2,6,5,13,5,9.666666667
0,9,10,1,3,1,227,30,0.333333333
0,9,9,1,8,4,227,30,3
0,4,8,1,5,1,272,5,14.83333333
0,4,19,1,3,1,272,5,5
0,4,15,1,4,3,154,57,2
0,4,11,1,10,2,154,57,1.833333333
0,2,17,1,6,2,92,34,1.5
0,2,15,1,5,1,92,34,2.5
0,2,20,1,8,3,14,5,3
0,2,14,2,6,3,14,5,12.33333333
0,2,12,1,8,3,25,5,2
0,2,9,1,5,2,25,5,2.5
0,8,13,1,9,2,105,72,2.166666667
0,8,14,1,7,2,105,72,2.166666667
0,0,13,1,6,2,233,39,0.166666667
0,0,11,1,2,2,233,39,1.333333333
0,0,9,1,5,1,173,53,0
0,0,9,1,3,1,173,53,0
0,7,12,1,1,1,286,7,4
0,7,9,1,3,2,286,7,4.5
0,8,20,1,3,1,202,5,21.83333333
0,8,11,2,20,2,202,5,7.666666667
0,7,14,2,4,2,220,5,8
0,7,12,1,6,2,220,5,2.833333333
0,4,12,2,6,5,170,6,1
0,4,8,1,4,2,170,6,0.833333333
0,0,11,1,2,1,271,31,1.833333333
0,0,8,1,4,2,271,31,0.166666667
0,3,10,3,7,4,124,34,7.166666667
0,3,8,1,8,2,124,34,4.666666667
0,2,18,1,5,5,231,34,15.16666667
0,2,9,3,6,4,231,34,1
0,5,21,1,8,2,89,94,3.5
0,5,15,2,7,3,89,94,3.333333333
0,9,13,1,3,1,283,30,0.166666667
0,9,7,1,4,4,283,30,3
0,3,15,1,5,4,188,72,0.5
0,3,14,1,5,1,188,72,6.666666667
0,1,15,2,9,3,21,94,16.66666667
0,1,7,2,16,4,21,94,36.66666667
0,0,10,2,4,4,138,5,1.166666667
0,0,11,1,6,3,138,5,9.333333333
0,2,9,5,12,9,163,9,5
0,2,19,1,4,1,163,9,3.166666667
0,6,7,1,5,1,197,30,5
0,6,18,1,3,3,197,30,0.833333333
0,4,13,3,5,4,158,5,3
0,4,16,1,4,3,158,5,6.333333333
0,7,13,1,10,2,191,82,1.333333333
0,7,12,1,5,1,191,82,1.5
0,1,9,3,8,3,325,98,11
0,1,13,1,3,3,325,98,1
0,8,13,1,12,2,324,57,6.333333333
0,8,16,1,3,2,324,57,1.166666667
0,6,34,2,8,2,140,5,1.5
0,6,20,1,3,1,140,5,7.666666667
0,6,13,1,7,4,219,29,1.166666667
0,6,9,1,4,3,219,29,0.5
0,1,8,2,12,7,19,94,5.5
0,1,10,1,8,4,12,5,4.166666667
0,2,19,2,7,2,175,2,10.5
0,0,12,1,5,1,112,5,1.666666667
0,9,17,1,7,2,41,39,1.833333333
0,9,12,1,2,1,280,66,0.666666667
0,1,12,2,10,5,75,30,3.166666667
0,0,13,4,7,5,269,30,6.833333333
0,2,12,1,7,2,120,34,8.666666667
0,2,13,2,3,2,110,34,3.333333333
0,7,17,1,2,2,204,5,0.5
0,0,13,2,3,3,214,54,0.166666667
0,1,18,1,14,5,74,62,14.16666667
0,1,13,2,6,3,11,5,3.833333333
0,2,14,2,6,2,210,30,1
0,0,11,1,5,1,160,51,1.166666667
0,8,24,1,6,3,125,30,0.833333333
0,0,7,1,1,1,136,44,0
0,9,15,1,9,2,254,46,1.166666667
0,1,12,2,6,2,250,5,22.5
0,1,10,1,2,1,262,65,4.5
0,2,18,1,5,3,70,34,17.83333333
0,8,15,1,5,2,79,73,5.666666667
0,2,18,1,5,2,69,34,2.166666667
0,7,13,1,5,2,294,57,0.833333333
0,7,16,3,8,4,166,93,1.666666667
0,3,13,2,5,5,224,5,2.333333333
0,9,9,1,3,1,274,72,1.5
0,3,7,1,2,1,205,5,1.5
0,5,14,1,12,5,123,37,6.166666667
0,0,17,2,5,2,207,46,3.5
0,1,21,1,4,2,303,94,7
0,5,15,1,4,2,311,30,6.5
0,0,15,2,6,4,185,30,2.166666667
0,0,10,1,7,3,149,28,2
0,1,10,1,8,3,90,5,1.166666667
0,4,13,2,6,6,36,16,8
0,9,14,1,7,1,306,30,2.166666667
0,0,15,4,10,6,315,34,1.5
0,4,9,1,8,2,153,77,4.333333333
0,3,17,1,4,4,96,34,6.666666667
0,6,9,1,4,1,95,30,5
0,7,18,1,9,1,226,34,2.166666667
0,9,12,1,3,1,203,5,0.833333333
0,6,14,1,9,3,267,77,4.833333333
0,2,9,1,6,2,88,72,6.833333333
0,3,18,1,7,4,7,5,1.5
0,1,15,1,10,2,249,34,15.83333333
0,5,19,1,3,1,37,16,1.833333333
0,2,15,1,7,3,56,34,11.83333333
0,0,14,1,6,5,198,30,2.166666667
0,0,19,1,6,1,101,72,3.5
0,3,24,4,83,10,323,34,1.833333333
0,6,10,2,5,2,292,34,8.666666667
0,0,18,2,11,6,32,87,1.166666667
0,0,9,1,7,2,179,82,2.666666667
0,4,10,1,8,1,187,72,2.166666667
0,2,14,1,2,2,195,30,10.33333333
0,7,10,1,1,1,98,30,7.166666667
0,4,14,1,6,2,9,5,7.333333333
0,1,13,2,5,2,18,94,15.66666667
0,7,10,1,2,2,304,72,0.5
0,9,9,1,10,2,102,5,1.166666667
0,0,12,2,3,2,87,30,0.166666667
0,0,12,1,9,1,31,52,1.5
0,1,17,2,4,2,16,3,4
0,5,16,1,3,2,30,32,2.5
0,5,15,1,4,1,44,5,1
0,0,16,1,2,1,189,82,0.666666667
0,7,8,2,7,2,251,57,4.666666667
0,0,22,1,6,4,52,76,0
0,2,9,1,6,2,232,34,1
0,6,13,1,6,1,228,34,6.5
0,4,10,1,5,2,115,35,1.666666667
0,5,13,1,7,3,310,30,8
0,0,9,1,8,4,53,34,2.5
0,2,7,1,4,1,139,32,3
0,0,9,1,6,4,182,42,0.5
0,4,17,2,6,4,178,32,11
0,3,16,3,2,3,305,34,6.666666667
0,0,9,1,7,2,284,30,3.333333333
0,3,16,2,9,6,167,93,1
0,0,11,1,6,2,314,34,1.333333333
0,8,5,1,5,1,134,45,0.5
0,8,16,2,6,2,206,46,1.166666667
0,7,9,1,2,2,193,2,1
0,7,11,1,3,2,132,45,3.333333333
0,4,9,1,4,1,261,81,9.333333333
0,0,11,1,5,3,237,57,1.5
